epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1090.84,1.15217,1.59982,0.00789,0.62999,0.55541,0.59765,0.42342,1.09452,1.62469,0.00997,0.0008218,0.0008218,0.0008218
56,1109.76,1.1461,1.58204,0.00798,0.62125,0.57501,0.60257,0.42784,1.09633,1.61993,0.01009,0.0008185,0.0008185,0.0008185
57,1128.75,1.15092,1.56513,0.00782,0.67502,0.56135,0.60427,0.42799,1.09169,1.60295,0.00996,0.0008152,0.0008152,0.0008152
58,1147.7,1.15007,1.55276,0.00786,0.67158,0.56686,0.61392,0.43619,1.09635,1.58612,0.01007,0.0008119,0.0008119,0.0008119
59,1166.67,1.14233,1.53129,0.00781,0.69721,0.53199,0.61001,0.42905,1.09897,1.59739,0.01002,0.0008086,0.0008086,0.0008086
60,1185.6,1.1329,1.51731,0.00782,0.6738,0.54644,0.60766,0.4258,1.09883,1.58827,0.01003,0.0008053,0.0008053,0.0008053
61,1204.58,1.14881,1.53072,0.00799,0.67263,0.56167,0.61733,0.43098,1.10255,1.57454,0.01009,0.000802,0.000802,0.000802
62,1223.53,1.14816,1.50781,0.00791,0.66044,0.58938,0.61767,0.43535,1.09992,1.57709,0.00999,0.0007987,0.0007987,0.0007987
63,1242.42,1.15038,1.49584,0.00797,0.66618,0.56928,0.6207,0.43721,1.10155,1.56828,0.01008,0.0007954,0.0007954,0.0007954
64,1261.37,1.15164,1.49867,0.00785,0.69201,0.56049,0.61663,0.4346,1.10561,1.55949,0.0101,0.0007921,0.0007921,0.0007921
65,1280.49,1.13891,1.47021,0.00782,0.66708,0.55236,0.62342,0.44091,1.10032,1.55326,0.01,0.0007888,0.0007888,0.0007888
66,1299.66,1.15035,1.48165,0.00782,0.63682,0.57904,0.61379,0.43314,1.10374,1.54441,0.01009,0.0007855,0.0007855,0.0007855
67,1318.57,1.13899,1.46912,0.00789,0.68563,0.56395,0.61806,0.43328,1.10592,1.54554,0.01011,0.0007822,0.0007822,0.0007822
68,1337.5,1.13701,1.43645,0.00775,0.66292,0.57515,0.61822,0.43794,1.10093,1.53629,0.01,0.0007789,0.0007789,0.0007789
69,1356.47,1.14192,1.45147,0.00781,0.65396,0.57349,0.61567,0.43616,1.09922,1.53352,0.00999,0.0007756,0.0007756,0.0007756
70,1375.54,1.14959,1.44316,0.00784,0.67282,0.57796,0.61949,0.44189,1.10064,1.52001,0.01011,0.0007723,0.0007723,0.0007723
71,1394.6,1.14412,1.42075,0.00775,0.63564,0.58816,0.62192,0.43974,1.10422,1.51263,0.01016,0.000769,0.000769,0.000769
72,1413.57,1.13953,1.41854,0.00762,0.62683,0.5835,0.62214,0.44114,1.10071,1.50849,0.01006,0.0007657,0.0007657,0.0007657
73,1432.46,1.1374,1.40849,0.00782,0.66965,0.57667,0.6269,0.43816,1.10653,1.5229,0.01015,0.0007624,0.0007624,0.0007624
74,1451.54,1.14236,1.40417,0.00789,0.58674,0.60553,0.61189,0.43573,1.10781,1.51494,0.01015,0.0007591,0.0007591,0.0007591
75,1470.91,1.14064,1.38655,0.00765,0.66943,0.58002,0.62762,0.44305,1.11353,1.48782,0.01015,0.0007558,0.0007558,0.0007558
76,1490.02,1.14092,1.38172,0.00777,0.62791,0.58259,0.6218,0.43595,1.11072,1.50089,0.01011,0.0007525,0.0007525,0.0007525
77,1508.99,1.12855,1.36694,0.00776,0.64461,0.5908,0.62596,0.4396,1.11155,1.47843,0.01022,0.0007492,0.0007492,0.0007492
78,1527.96,1.1322,1.37428,0.00781,0.66876,0.57877,0.6319,0.448,1.10601,1.48494,0.01014,0.0007459,0.0007459,0.0007459
79,1547.18,1.13088,1.35673,0.00773,0.64331,0.59832,0.62909,0.44329,1.1096,1.49151,0.01018,0.0007426,0.0007426,0.0007426
80,1566.26,1.14617,1.35832,0.00768,0.65732,0.58515,0.63046,0.44107,1.1157,1.47819,0.01034,0.0007393,0.0007393,0.0007393
81,1585.18,1.12608,1.34133,0.00769,0.64304,0.61202,0.62928,0.45031,1.11096,1.47272,0.01026,0.000736,0.000736,0.000736
82,1604.29,1.12847,1.3324,0.00753,0.64317,0.60523,0.63164,0.44476,1.11224,1.48091,0.01021,0.0007327,0.0007327,0.0007327
83,1623.22,1.12908,1.32805,0.00778,0.67394,0.58003,0.63269,0.4502,1.11142,1.47848,0.0102,0.0007294,0.0007294,0.0007294
84,1642.15,1.11476,1.32497,0.00777,0.65008,0.60338,0.63734,0.44745,1.11273,1.46684,0.01027,0.0007261,0.0007261,0.0007261
85,1661.26,1.1182,1.31107,0.00762,0.62675,0.60838,0.63004,0.4401,1.11162,1.45958,0.01023,0.0007228,0.0007228,0.0007228
86,1680.34,1.12457,1.3239,0.00766,0.67981,0.58592,0.64055,0.4527,1.11302,1.45803,0.01024,0.0007195,0.0007195,0.0007195
87,1699.36,1.12824,1.30546,0.00772,0.64135,0.59755,0.63398,0.44488,1.11537,1.45667,0.01025,0.0007162,0.0007162,0.0007162
88,1718.27,1.12637,1.28491,0.00762,0.67046,0.60197,0.63878,0.45139,1.11729,1.44553,0.01024,0.0007129,0.0007129,0.0007129
89,1737.37,1.12696,1.28968,0.00756,0.67103,0.58988,0.63315,0.44598,1.12125,1.44887,0.01026,0.0007096,0.0007096,0.0007096
90,1756.29,1.13558,1.28588,0.00776,0.62585,0.62651,0.63643,0.4471,1.11168,1.44814,0.01015,0.0007063,0.0007063,0.0007063
91,1775.25,1.11905,1.27342,0.00761,0.67905,0.58151,0.63455,0.44551,1.11453,1.44444,0.01019,0.000703,0.000703,0.000703
92,1794.3,1.12055,1.27474,0.0077,0.66003,0.60171,0.63997,0.45112,1.11265,1.43338,0.01021,0.0006997,0.0006997,0.0006997
93,1813.66,1.12933,1.25743,0.00771,0.64985,0.60698,0.63895,0.45151,1.11448,1.43054,0.01019,0.0006964,0.0006964,0.0006964
94,1832.94,1.12543,1.25506,0.00771,0.68994,0.60804,0.64301,0.45625,1.11824,1.41951,0.01029,0.0006931,0.0006931,0.0006931
95,1852.61,1.1137,1.25614,0.0077,0.65177,0.61488,0.63992,0.45158,1.11229,1.42081,0.01018,0.0006898,0.0006898,0.0006898
96,1872,1.12433,1.25816,0.00758,0.65978,0.62739,0.65014,0.45844,1.12372,1.40335,0.01034,0.0006865,0.0006865,0.0006865
97,1891.44,1.10632,1.23097,0.00761,0.67052,0.6054,0.64661,0.45392,1.12521,1.40793,0.01038,0.0006832,0.0006832,0.0006832
98,1911.3,1.12061,1.24068,0.00767,0.67393,0.5991,0.64825,0.46032,1.12038,1.41885,0.01028,0.0006799,0.0006799,0.0006799
99,1931.06,1.11611,1.21419,0.00756,0.70675,0.56657,0.64539,0.45667,1.11985,1.41951,0.0102,0.0006766,0.0006766,0.0006766
100,1950.68,1.11788,1.22868,0.00761,0.67766,0.60004,0.64657,0.46403,1.12452,1.39509,0.01033,0.0006733,0.0006733,0.0006733
101,1970.52,1.12061,1.23684,0.00763,0.62959,0.61773,0.64712,0.46278,1.11589,1.39314,0.01022,0.00067,0.00067,0.00067
102,1990.21,1.10725,1.21529,0.00758,0.65894,0.61599,0.64956,0.46341,1.11608,1.38179,0.01022,0.0006667,0.0006667,0.0006667
103,2009.81,1.12401,1.21212,0.00753,0.64777,0.61866,0.64413,0.45754,1.11903,1.38032,0.01024,0.0006634,0.0006634,0.0006634
104,2029.62,1.10574,1.19275,0.00758,0.69906,0.59339,0.65075,0.46442,1.12475,1.37808,0.01036,0.0006601,0.0006601,0.0006601
105,2049.34,1.11518,1.18561,0.0075,0.65099,0.62351,0.6443,0.45504,1.12409,1.38452,0.01033,0.0006568,0.0006568,0.0006568
106,2068.95,1.12111,1.19465,0.00761,0.62797,0.63396,0.64379,0.45304,1.12567,1.39069,0.01031,0.0006535,0.0006535,0.0006535
107,2088.86,1.11255,1.18025,0.00761,0.67638,0.59493,0.64654,0.45941,1.1189,1.3732,0.01023,0.0006502,0.0006502,0.0006502
108,2108.52,1.11831,1.16585,0.00764,0.69841,0.60633,0.65386,0.46166,1.12323,1.36743,0.01027,0.0006469,0.0006469,0.0006469
109,2127.84,1.09411,1.15962,0.00751,0.68038,0.62239,0.6502,0.45516,1.12265,1.37774,0.0103,0.0006436,0.0006436,0.0006436
110,2147.2,1.09919,1.15959,0.00758,0.69634,0.61393,0.64897,0.45736,1.12307,1.38085,0.01029,0.0006403,0.0006403,0.0006403
